CUI,Term,SemanticType
C0000001,Concept_1,Disease
C0000002,Concept_2,Symptom
C0000003,Concept_3,Drug
C0000004,Concept_4,Symptom
C0000005,Concept_5,Procedure
C0000006,Concept_6,Symptom
C0000007,Concept_7,Disease
C0000008,Concept_8,Disease
C0000009,Concept_9,Procedure
C0000010,Concept_10,Procedure
C0000011,Concept_11,Drug
C0000012,Concept_12,Symptom
C0000013,Concept_13,Drug
C0000014,Concept_14,Disease
C0000015,Concept_15,Symptom
C0000016,Concept_16,Drug
C0000017,Concept_17,Disease
C0000018,Concept_18,Procedure
C0000019,Concept_19,Procedure
C0000020,Concept_20,Disease
C0000021,Concept_21,Disease
C0000022,Concept_22,Symptom
C0000023,Concept_23,Disease
C0000024,Concept_24,Drug
C0000025,Concept_25,Drug
C0000026,Concept_26,Symptom
C0000027,Concept_27,Procedure
C0000028,Concept_28,Disease
C0000029,Concept_29,Procedure
C0000030,Concept_30,Disease
C0000031,Concept_31,Procedure
C0000032,Concept_32,Symptom
C0000033,Concept_33,Procedure
C0000034,Concept_34,Disease
C0000035,Concept_35,Disease
C0000036,Concept_36,Drug
C0000037,Concept_37,Procedure
C0000038,Concept_38,Symptom
C0000039,Concept_39,Drug
C0000040,Concept_40,Disease
C0000041,Concept_41,Disease
C0000042,Concept_42,Drug
C0000043,Concept_43,Procedure
C0000044,Concept_44,Drug
C0000045,Concept_45,Drug
C0000046,Concept_46,Symptom
C0000047,Concept_47,Procedure
C0000048,Concept_48,Disease
C0000049,Concept_49,Drug
C0000050,Concept_50,Symptom
C0000051,Concept_51,Disease
C0000052,Concept_52,Symptom
C0000053,Concept_53,Drug
C0000054,Concept_54,Procedure
C0000055,Concept_55,Drug
C0000056,Concept_56,Disease
C0000057,Concept_57,Disease
C0000058,Concept_58,Procedure
C0000059,Concept_59,Disease
C0000060,Concept_60,Symptom
C0000061,Concept_61,Drug
C0000062,Concept_62,Procedure
C0000063,Concept_63,Drug
C0000064,Concept_64,Symptom
C0000065,Concept_65,Symptom
C0000066,Concept_66,Drug
C0000067,Concept_67,Disease
C0000068,Concept_68,Procedure
C0000069,Concept_69,Disease
C0000070,Concept_70,Symptom
C0000071,Concept_71,Procedure
C0000072,Concept_72,Procedure
C0000073,Concept_73,Symptom
C0000074,Concept_74,Disease
C0000075,Concept_75,Drug
C0000076,Concept_76,Procedure
C0000077,Concept_77,Procedure
C0000078,Concept_78,Disease
C0000079,Concept_79,Drug
C0000080,Concept_80,Drug
C0000081,Concept_81,Drug
C0000082,Concept_82,Symptom
C0000083,Concept_83,Drug
C0000084,Concept_84,Drug
C0000085,Concept_85,Procedure
C0000086,Concept_86,Disease
C0000087,Concept_87,Disease
C0000088,Concept_88,Disease
C0000089,Concept_89,Drug
C0000090,Concept_90,Drug
C0000091,Concept_91,Symptom
C0000092,Concept_92,Drug
C0000093,Concept_93,Symptom
C0000094,Concept_94,Disease
C0000095,Concept_95,Symptom
C0000096,Concept_96,Drug
C0000097,Concept_97,Procedure
C0000098,Concept_98,Disease
C0000099,Concept_99,Symptom
C0000100,Concept_100,Procedure
C0000101,Concept_101,Disease
C0000102,Concept_102,Drug
C0000103,Concept_103,Procedure
C0000104,Concept_104,Procedure
C0000105,Concept_105,Drug
C0000106,Concept_106,Drug
C0000107,Concept_107,Drug
C0000108,Concept_108,Drug
C0000109,Concept_109,Procedure
C0000110,Concept_110,Symptom
C0000111,Concept_111,Drug
C0000112,Concept_112,Disease
C0000113,Concept_113,Drug
C0000114,Concept_114,Disease
C0000115,Concept_115,Symptom
C0000116,Concept_116,Disease
C0000117,Concept_117,Disease
C0000118,Concept_118,Disease
C0000119,Concept_119,Disease
C0000120,Concept_120,Drug
C0000121,Concept_121,Disease
C0000122,Concept_122,Drug
C0000123,Concept_123,Symptom
C0000124,Concept_124,Drug
C0000125,Concept_125,Drug
C0000126,Concept_126,Drug
C0000127,Concept_127,Disease
C0000128,Concept_128,Disease
C0000129,Concept_129,Drug
C0000130,Concept_130,Procedure
C0000131,Concept_131,Drug
C0000132,Concept_132,Drug
C0000133,Concept_133,Disease
C0000134,Concept_134,Disease
C0000135,Concept_135,Drug
C0000136,Concept_136,Drug
C0000137,Concept_137,Symptom
C0000138,Concept_138,Disease
C0000139,Concept_139,Symptom
C0000140,Concept_140,Drug
C0000141,Concept_141,Symptom
C0000142,Concept_142,Drug
C0000143,Concept_143,Drug
C0000144,Concept_144,Disease
C0000145,Concept_145,Disease
C0000146,Concept_146,Procedure
C0000147,Concept_147,Drug
C0000148,Concept_148,Disease
C0000149,Concept_149,Drug
C0000150,Concept_150,Procedure
C0000151,Concept_151,Procedure
C0000152,Concept_152,Disease
C0000153,Concept_153,Drug
C0000154,Concept_154,Procedure
C0000155,Concept_155,Symptom
C0000156,Concept_156,Symptom
C0000157,Concept_157,Drug
C0000158,Concept_158,Drug
C0000159,Concept_159,Drug
C0000160,Concept_160,Symptom
C0000161,Concept_161,Drug
C0000162,Concept_162,Procedure
C0000163,Concept_163,Drug
C0000164,Concept_164,Drug
C0000165,Concept_165,Drug
C0000166,Concept_166,Drug
C0000167,Concept_167,Disease
C0000168,Concept_168,Disease
C0000169,Concept_169,Drug
C0000170,Concept_170,Disease
C0000171,Concept_171,Disease
C0000172,Concept_172,Symptom
C0000173,Concept_173,Drug
C0000174,Concept_174,Drug
C0000175,Concept_175,Procedure
C0000176,Concept_176,Drug
C0000177,Concept_177,Symptom
C0000178,Concept_178,Drug
C0000179,Concept_179,Drug
C0000180,Concept_180,Drug
C0000181,Concept_181,Drug
C0000182,Concept_182,Procedure
C0000183,Concept_183,Symptom
C0000184,Concept_184,Procedure
C0000185,Concept_185,Symptom
C0000186,Concept_186,Drug
C0000187,Concept_187,Symptom
C0000188,Concept_188,Disease
C0000189,Concept_189,Drug
C0000190,Concept_190,Procedure
C0000191,Concept_191,Procedure
C0000192,Concept_192,Symptom
C0000193,Concept_193,Symptom
C0000194,Concept_194,Symptom
C0000195,Concept_195,Disease
C0000196,Concept_196,Symptom
C0000197,Concept_197,Drug
C0000198,Concept_198,Procedure
C0000199,Concept_199,Drug
C0000200,Concept_200,Drug
