CUI1,REL,CUI2
C0000017,TREATS,C0000059
C0000084,CAUSES,C0000176
C0000038,CAUSES,C0000054
C0000025,ASSOCIATED_WITH,C0000030
C0000094,TREATS,C0000145
C0000118,ASSOCIATED_WITH,C0000042
C0000062,CAUSES,C0000073
C0000139,ASSOCIATED_WITH,C0000037
C0000114,RISK_FACTOR_FOR,C0000182
C0000076,ASSOCIATED_WITH,C0000083
C0000122,TREATS,C0000095
C0000015,CAUSES,C0000121
C0000158,TREATS,C0000111
C0000072,TREATS,C0000133
C0000149,TREATS,C0000033
C0000161,TREATS,C0000197
C0000032,CAUSES,C0000100
C0000195,ASSOCIATED_WITH,C0000046
C0000094,TREATS,C0000025
C0000088,CAUSES,C0000080
C0000200,RISK_FACTOR_FOR,C0000137
C0000023,RISK_FACTOR_FOR,C0000149
C0000105,ASSOCIATED_WITH,C0000191
C0000134,ASSOCIATED_WITH,C0000008
C0000108,TREATS,C0000153
C0000011,TREATS,C0000133
C0000042,ASSOCIATED_WITH,C0000014
C0000007,TREATS,C0000152
C0000118,TREATS,C0000190
C0000065,ASSOCIATED_WITH,C0000173
C0000118,CAUSES,C0000076
C0000143,TREATS,C0000080
C0000170,ASSOCIATED_WITH,C0000161
C0000178,ASSOCIATED_WITH,C0000077
C0000025,RISK_FACTOR_FOR,C0000173
C0000151,TREATS,C0000041
C0000199,TREATS,C0000076
C0000162,RISK_FACTOR_FOR,C0000121
C0000196,CAUSES,C0000056
C0000105,ASSOCIATED_WITH,C0000128
C0000185,CAUSES,C0000052
C0000169,RISK_FACTOR_FOR,C0000144
C0000081,TREATS,C0000042
C0000153,TREATS,C0000195
C0000193,TREATS,C0000013
C0000138,CAUSES,C0000006
C0000093,TREATS,C0000098
C0000103,TREATS,C0000197
C0000110,RISK_FACTOR_FOR,C0000102
C0000151,TREATS,C0000040
C0000140,CAUSES,C0000079
C0000126,RISK_FACTOR_FOR,C0000155
C0000158,ASSOCIATED_WITH,C0000048
C0000016,TREATS,C0000111
C0000141,TREATS,C0000183
C0000084,CAUSES,C0000156
C0000175,TREATS,C0000125
C0000199,TREATS,C0000056
C0000129,RISK_FACTOR_FOR,C0000050
C0000184,RISK_FACTOR_FOR,C0000170
C0000123,CAUSES,C0000122
C0000059,ASSOCIATED_WITH,C0000186
C0000049,ASSOCIATED_WITH,C0000177
C0000143,TREATS,C0000082
C0000198,CAUSES,C0000130
C0000142,ASSOCIATED_WITH,C0000088
C0000060,CAUSES,C0000135
C0000094,CAUSES,C0000145
C0000071,RISK_FACTOR_FOR,C0000051
C0000150,RISK_FACTOR_FOR,C0000078
C0000048,ASSOCIATED_WITH,C0000059
C0000031,ASSOCIATED_WITH,C0000075
C0000166,CAUSES,C0000083
C0000176,RISK_FACTOR_FOR,C0000197
C0000177,ASSOCIATED_WITH,C0000194
C0000076,RISK_FACTOR_FOR,C0000111
C0000116,RISK_FACTOR_FOR,C0000023
C0000067,RISK_FACTOR_FOR,C0000065
C0000082,CAUSES,C0000115
C0000174,TREATS,C0000114
C0000055,TREATS,C0000132
C0000099,ASSOCIATED_WITH,C0000144
C0000184,TREATS,C0000155
C0000130,ASSOCIATED_WITH,C0000137
C0000085,RISK_FACTOR_FOR,C0000038
C0000031,TREATS,C0000077
C0000125,RISK_FACTOR_FOR,C0000162
C0000053,ASSOCIATED_WITH,C0000002
C0000010,RISK_FACTOR_FOR,C0000099
C0000105,RISK_FACTOR_FOR,C0000008
C0000153,TREATS,C0000193
C0000189,CAUSES,C0000173
C0000059,TREATS,C0000135
C0000032,ASSOCIATED_WITH,C0000128
C0000044,ASSOCIATED_WITH,C0000088
C0000125,ASSOCIATED_WITH,C0000039
C0000003,RISK_FACTOR_FOR,C0000192
C0000072,RISK_FACTOR_FOR,C0000180
C0000194,RISK_FACTOR_FOR,C0000163
C0000045,RISK_FACTOR_FOR,C0000148
C0000078,TREATS,C0000135
C0000191,ASSOCIATED_WITH,C0000196
C0000049,ASSOCIATED_WITH,C0000184
C0000178,RISK_FACTOR_FOR,C0000068
C0000114,RISK_FACTOR_FOR,C0000034
C0000193,CAUSES,C0000054
C0000159,TREATS,C0000047
C0000143,RISK_FACTOR_FOR,C0000074
C0000174,ASSOCIATED_WITH,C0000066
C0000169,RISK_FACTOR_FOR,C0000166
C0000046,CAUSES,C0000161
C0000199,CAUSES,C0000109
C0000002,TREATS,C0000141
C0000174,RISK_FACTOR_FOR,C0000006
C0000020,ASSOCIATED_WITH,C0000198
C0000199,TREATS,C0000127
C0000149,RISK_FACTOR_FOR,C0000051
C0000155,ASSOCIATED_WITH,C0000179
C0000004,ASSOCIATED_WITH,C0000134
C0000025,ASSOCIATED_WITH,C0000034
C0000021,ASSOCIATED_WITH,C0000003
C0000132,CAUSES,C0000104
C0000070,TREATS,C0000115
C0000047,ASSOCIATED_WITH,C0000194
C0000171,ASSOCIATED_WITH,C0000021
C0000168,ASSOCIATED_WITH,C0000059
C0000101,RISK_FACTOR_FOR,C0000068
C0000061,RISK_FACTOR_FOR,C0000079
C0000140,TREATS,C0000154
C0000103,ASSOCIATED_WITH,C0000145
C0000068,RISK_FACTOR_FOR,C0000077
C0000005,ASSOCIATED_WITH,C0000151
C0000101,RISK_FACTOR_FOR,C0000080
C0000024,CAUSES,C0000094
C0000015,TREATS,C0000029
C0000166,TREATS,C0000112
C0000150,ASSOCIATED_WITH,C0000159
C0000105,TREATS,C0000195
C0000085,RISK_FACTOR_FOR,C0000198
C0000104,ASSOCIATED_WITH,C0000052
C0000156,RISK_FACTOR_FOR,C0000081
C0000079,ASSOCIATED_WITH,C0000191
C0000080,RISK_FACTOR_FOR,C0000033
C0000153,RISK_FACTOR_FOR,C0000004
C0000154,TREATS,C0000145
C0000157,ASSOCIATED_WITH,C0000174
C0000055,RISK_FACTOR_FOR,C0000140
C0000095,CAUSES,C0000125
C0000129,TREATS,C0000161
C0000198,RISK_FACTOR_FOR,C0000067
C0000068,RISK_FACTOR_FOR,C0000127
C0000097,CAUSES,C0000178
C0000069,ASSOCIATED_WITH,C0000143
C0000097,TREATS,C0000161
C0000019,TREATS,C0000147
C0000016,TREATS,C0000069
C0000080,RISK_FACTOR_FOR,C0000068
C0000179,CAUSES,C0000067
C0000072,ASSOCIATED_WITH,C0000123
C0000051,RISK_FACTOR_FOR,C0000181
C0000028,ASSOCIATED_WITH,C0000076
C0000199,ASSOCIATED_WITH,C0000093
C0000031,TREATS,C0000055
C0000018,RISK_FACTOR_FOR,C0000080
C0000009,RISK_FACTOR_FOR,C0000160
C0000188,ASSOCIATED_WITH,C0000178
C0000110,RISK_FACTOR_FOR,C0000129
C0000100,ASSOCIATED_WITH,C0000075
