# ============================================================
# INSTANCE 1 — Maladies Infectieuses, Respiratoires & Traitements de Base
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Infectieuses & Symptômes ---
Influenza,causes_symptom,Fever
Influenza,causes_symptom,Cough
Influenza,causes_symptom,Fatigue
Influenza,causes_symptom,Body_Aches
Influenza,causes_symptom,Chills
Influenza,causes_symptom,Headache
Influenza,causes_symptom,Sore_Throat
Influenza,causes_symptom,Runny_Nose
Influenza,causes_symptom,Nasal_Congestion
Influenza,causes_symptom,Vomiting
COVID-19,causes_symptom,Fever
COVID-19,causes_symptom,Cough
COVID-19,causes_symptom,Loss_of_Smell
COVID-19,causes_symptom,Fatigue
COVID-19,causes_symptom,Difficulty_Breathing
COVID-19,causes_symptom,Headache
COVID-19,causes_symptom,Sore_Throat
COVID-19,causes_symptom,Body_Aches
COVID-19,causes_symptom,Diarrhea
COVID-19,causes_symptom,Chills
COVID-19,causes_symptom,Loss_of_Taste
COVID-19,causes_symptom,Nausea
Pneumonia,causes_symptom,Cough
Pneumonia,causes_symptom,Difficulty_Breathing
Pneumonia,causes_symptom,Fever
Pneumonia,causes_symptom,Chest_Pain
Pneumonia,causes_symptom,Fatigue
Pneumonia,causes_symptom,Chills
Pneumonia,causes_symptom,Rapid_Breathing
Pneumonia,causes_symptom,Sweating
Bronchitis,causes_symptom,Cough
Bronchitis,causes_symptom,Mucus_Production
Bronchitis,causes_symptom,Fatigue
Bronchitis,causes_symptom,Chest_Tightness
Bronchitis,causes_symptom,Mild_Fever
Bronchitis,causes_symptom,Sore_Throat
Tuberculosis,causes_symptom,Persistent_Cough
Tuberculosis,causes_symptom,Night_Sweats
Tuberculosis,causes_symptom,Weight_Loss
Tuberculosis,causes_symptom,Fever
Tuberculosis,causes_symptom,Fatigue
Tuberculosis,causes_symptom,Coughing_Blood
Malaria,causes_symptom,Fever
Malaria,causes_symptom,Chills
Malaria,causes_symptom,Headache
Malaria,causes_symptom,Nausea
Malaria,causes_symptom,Vomiting
Malaria,causes_symptom,Fatigue
Malaria,causes_symptom,Sweating
Dengue,causes_symptom,High_Fever
Dengue,causes_symptom,Severe_Headache
Dengue,causes_symptom,Joint_Pain
Dengue,causes_symptom,Muscle_Pain
Dengue,causes_symptom,Rash
Dengue,causes_symptom,Bleeding_Gums
Typhoid,causes_symptom,Fever
Typhoid,causes_symptom,Weakness
Typhoid,causes_symptom,Abdominal_Pain
Typhoid,causes_symptom,Headache
Typhoid,causes_symptom,Diarrhea
Typhoid,causes_symptom,Constipation
HIV,causes_symptom,Fatigue
HIV,causes_symptom,Weight_Loss
HIV,causes_symptom,Night_Sweats
HIV,causes_symptom,Fever
HIV,causes_symptom,Swollen_Lymph_Nodes
Hepatitis_B,causes_symptom,Jaundice
Hepatitis_B,causes_symptom,Fatigue
Hepatitis_B,causes_symptom,Abdominal_Pain
Hepatitis_B,causes_symptom,Nausea
Hepatitis_C,causes_symptom,Fatigue
Hepatitis_C,causes_symptom,Jaundice
Hepatitis_C,causes_symptom,Nausea
Measles,causes_symptom,Fever
Measles,causes_symptom,Rash
Measles,causes_symptom,Cough
Measles,causes_symptom,Runny_Nose
Chickenpox,causes_symptom,Itchy_Rash
Chickenpox,causes_symptom,Fever
Chickenpox,causes_symptom,Fatigue
Meningitis,causes_symptom,Severe_Headache
Meningitis,causes_symptom,Neck_Stiffness
Meningitis,causes_symptom,Fever
Meningitis,causes_symptom,Sensitivity_to_Light
Sepsis,causes_symptom,High_Fever
Sepsis,causes_symptom,Rapid_Heart_Rate
Sepsis,causes_symptom,Confusion
Sepsis,causes_symptom,Difficulty_Breathing

# --- Maladies Respiratoires ---
Asthma,causes_symptom,Wheezing
Asthma,causes_symptom,Cough
Asthma,causes_symptom,Chest_Tightness
Asthma,causes_symptom,Difficulty_Breathing
Asthma,causes_symptom,Shortness_of_Breath
COPD,causes_symptom,Chronic_Cough
COPD,causes_symptom,Shortness_of_Breath
COPD,causes_symptom,Wheezing
COPD,causes_symptom,Chest_Tightness
COPD,causes_symptom,Mucus_Production
Hay_Fever,causes_symptom,Sneezing
Hay_Fever,causes_symptom,Runny_Nose
Hay_Fever,causes_symptom,Itchy_Eyes
Hay_Fever,causes_symptom,Nasal_Congestion
Pulmonary_Edema,causes_symptom,Difficulty_Breathing
Pulmonary_Edema,causes_symptom,Cough
Pulmonary_Edema,causes_symptom,Chest_Pain
Pulmonary_Fibrosis,causes_symptom,Dry_Cough
Pulmonary_Fibrosis,causes_symptom,Shortness_of_Breath
Pulmonary_Fibrosis,causes_symptom,Fatigue
Sleep_Apnea,causes_symptom,Snoring
Sleep_Apnea,causes_symptom,Gasping_During_Sleep
Sleep_Apnea,causes_symptom,Fatigue
Sleep_Apnea,causes_symptom,Headache

# --- Traitements Maladies Infectieuses ---
Amoxicillin,treats,Pneumonia
Amoxicillin,treats,Bronchitis
Amoxicillin,treats,Sinusitis
Amoxicillin,treats,Ear_Infection
Amoxicillin,treats,Strep_Throat
Azithromycin,treats,Pneumonia
Azithromycin,treats,Bronchitis
Azithromycin,treats,Sinusitis
Azithromycin,treats,Chlamydia
Azithromycin,treats,Gonorrhea
Doxycycline,treats,Malaria
Doxycycline,treats,Chlamydia
Doxycycline,treats,Lyme_Disease
Doxycycline,treats,Acne
Ciprofloxacin,treats,Typhoid
Ciprofloxacin,treats,Urinary_Tract_Infection
Ciprofloxacin,treats,Bacterial_Infection
Rifampicin,treats,Tuberculosis
Isoniazid,treats,Tuberculosis
Ethambutol,treats,Tuberculosis
Pyrazinamide,treats,Tuberculosis
Chloroquine,treats,Malaria
Artemisinin,treats,Malaria
Quinine,treats,Malaria
Oseltamivir,treats,Influenza
Zanamivir,treats,Influenza
Acyclovir,treats,Herpes
Acyclovir,treats,Chickenpox
Ribavirin,treats,Hepatitis_C
Sofosbuvir,treats,Hepatitis_C
Tenofovir,treats,HIV
Emtricitabine,treats,HIV
Lopinavir,treats,HIV
Ritonavir,treats,HIV
Remdesivir,treats,COVID-19
Dexamethasone,treats,COVID-19
Paxlovid,treats,COVID-19
Penicillin,treats,Strep_Throat
Penicillin,treats,Bacterial_Infection
Metronidazole,treats,Bacterial_Infection
Ceftriaxone,treats,Meningitis
Ceftriaxone,treats,Pneumonia
Vancomycin,treats,Sepsis
Vancomycin,treats,MRSA
Piperacillin,treats,Sepsis

# --- Traitements Respiratoires ---
Albuterol,treats,Asthma
Albuterol,treats,Wheezing
Albuterol,treats,COPD
Salmeterol,treats,Asthma
Salmeterol,treats,COPD
Tiotropium,treats,COPD
Ipratropium,treats,COPD
Ipratropium,treats,Asthma
Budesonide,treats,Asthma
Fluticasone,treats,Asthma
Prednisolone,treats,Asthma
Theophylline,treats,Asthma
Theophylline,treats,COPD
Montelukast,treats,Asthma
Montelukast,treats,Hay_Fever
Loratadine,treats,Hay_Fever
Cetirizine,treats,Hay_Fever
Cetirizine,treats,Sneezing
Fexofenadine,treats,Hay_Fever
Fexofenadine,treats,Runny_Nose
Codeine,treats,Cough
Dextromethorphan,treats,Cough
Guaifenesin,treats,Mucus_Production
Benzonate,treats,Cough
Prednisone,treats,Asthma
Prednisone,treats,COPD

# --- Taxonomie des Maladies Infectieuses ---
Influenza,is_a,Infectious_Disease
COVID-19,is_a,Infectious_Disease
Pneumonia,is_a,Infectious_Disease
Bronchitis,is_a,Infectious_Disease
Tuberculosis,is_a,Infectious_Disease
Malaria,is_a,Infectious_Disease
Dengue,is_a,Infectious_Disease
Typhoid,is_a,Infectious_Disease
HIV,is_a,Infectious_Disease
Hepatitis_B,is_a,Infectious_Disease
Hepatitis_C,is_a,Infectious_Disease
Measles,is_a,Infectious_Disease
Chickenpox,is_a,Infectious_Disease
Meningitis,is_a,Infectious_Disease
Sepsis,is_a,Infectious_Disease
Asthma,is_a,Respiratory_Condition
COPD,is_a,Respiratory_Condition
Hay_Fever,is_a,Respiratory_Condition
Pulmonary_Fibrosis,is_a,Respiratory_Condition
Sleep_Apnea,is_a,Respiratory_Condition
Infectious_Disease,is_a,Maladie
Respiratory_Condition,is_a,Maladie

# --- Taxonomie des Antibiotiques ---
Amoxicillin,is_a,Antibiotic
Azithromycin,is_a,Antibiotic
Doxycycline,is_a,Antibiotic
Ciprofloxacin,is_a,Antibiotic
Rifampicin,is_a,Antibiotic
Isoniazid,is_a,Antibiotic
Ethambutol,is_a,Antibiotic
Pyrazinamide,is_a,Antibiotic
Penicillin,is_a,Antibiotic
Metronidazole,is_a,Antibiotic
Ceftriaxone,is_a,Antibiotic
Vancomycin,is_a,Antibiotic
Piperacillin,is_a,Antibiotic
Antibiotic,is_a,Medicament
Antiviral,is_a,Medicament
Oseltamivir,is_a,Antiviral
Zanamivir,is_a,Antiviral
Acyclovir,is_a,Antiviral
Ribavirin,is_a,Antiviral
Sofosbuvir,is_a,Antiviral
Tenofovir,is_a,Antiviral
Remdesivir,is_a,Antiviral
Paxlovid,is_a,Antiviral
Antiparasitic,is_a,Medicament
Chloroquine,is_a,Antiparasitic
Artemisinin,is_a,Antiparasitic
Quinine,is_a,Antiparasitic
Bronchodilator,is_a,Medicament
Albuterol,is_a,Bronchodilator
Salmeterol,is_a,Bronchodilator
Tiotropium,is_a,Bronchodilator
Ipratropium,is_a,Bronchodilator
Theophylline,is_a,Bronchodilator
Corticosteroid,is_a,Medicament
Budesonide,is_a,Corticosteroid
Fluticasone,is_a,Corticosteroid
Prednisolone,is_a,Corticosteroid
Prednisone,is_a,Corticosteroid
Dexamethasone,is_a,Corticosteroid
Antihistamine,is_a,Medicament
Loratadine,is_a,Antihistamine
Cetirizine,is_a,Antihistamine
Fexofenadine,is_a,Antihistamine

# --- Taxonomie Symptômes ---
Fever,is_a,Symptom
Cough,is_a,Symptom
Fatigue,is_a,Symptom
Headache,is_a,Symptom
Chills,is_a,Symptom
Body_Aches,is_a,Symptom
Sore_Throat,is_a,Symptom
Runny_Nose,is_a,Symptom
Nasal_Congestion,is_a,Symptom
Vomiting,is_a,Symptom
Loss_of_Smell,is_a,Symptom
Loss_of_Taste,is_a,Symptom
Difficulty_Breathing,is_a,Symptom
Nausea,is_a,Symptom
Diarrhea,is_a,Symptom
Chest_Pain,is_a,Symptom
Night_Sweats,is_a,Symptom
Weight_Loss,is_a,Symptom
Coughing_Blood,is_a,Symptom
Joint_Pain,is_a,Symptom
Muscle_Pain,is_a,Symptom
Rash,is_a,Symptom
Jaundice,is_a,Symptom
Swollen_Lymph_Nodes,is_a,Symptom
Neck_Stiffness,is_a,Symptom
Sensitivity_to_Light,is_a,Symptom
Rapid_Heart_Rate,is_a,Symptom
Confusion,is_a,Symptom
Wheezing,is_a,Symptom
Sneezing,is_a,Symptom
Itchy_Eyes,is_a,Symptom
Shortness_of_Breath,is_a,Symptom
Chest_Tightness,is_a,Symptom
Mucus_Production,is_a,Symptom
Persistent_Cough,is_a,Symptom
Itchy_Rash,is_a,Symptom
Rapid_Breathing,is_a,Symptom
Sweating,is_a,Symptom
Mild_Fever,is_a,Symptom
High_Fever,is_a,Symptom
Severe_Headache,is_a,Symptom
Abdominal_Pain,is_a,Symptom
Weakness,is_a,Symptom
Constipation,is_a,Symptom
Bleeding_Gums,is_a,Symptom
Dry_Cough,is_a,Symptom
Snoring,is_a,Symptom

# --- Contre-indications ---
Amoxicillin,contraindicated_with,Penicillin_Allergy
Ciprofloxacin,contraindicated_with,Tendon_Problems
Doxycycline,contraindicated_with,Pregnancy
Chloroquine,contraindicated_with,Retinal_Disease
Oseltamivir,contraindicated_with,Kidney_Failure
Ribavirin,contraindicated_with,Pregnancy
Isoniazid,contraindicated_with,Liver_Disease
Rifampicin,contraindicated_with,Liver_Disease
Theophylline,contraindicated_with,Heart_Arrhythmia
Codeine,contraindicated_with,Respiratory_Depression

# --- Interactions médicamenteuses ---
Amoxicillin,interacts_with,Warfarin
Ciprofloxacin,interacts_with,Antacids
Doxycycline,interacts_with,Antacids
Rifampicin,interacts_with,Oral_Contraceptives
Rifampicin,interacts_with,Warfarin
Theophylline,interacts_with,Ciprofloxacin
Oseltamivir,interacts_with,Live_Influenza_Vaccine
Chloroquine,interacts_with,Hydroxychloroquine
Tenofovir,interacts_with,Didanosine
Sofosbuvir,interacts_with,Amiodarone

# --- Diagnostics & Tests ---
Influenza,diagnosed_by,Rapid_Influenza_Test
COVID-19,diagnosed_by,PCR_Test
COVID-19,diagnosed_by,Antigen_Test
Tuberculosis,diagnosed_by,Mantoux_Test
Tuberculosis,diagnosed_by,Sputum_Culture
Malaria,diagnosed_by,Blood_Smear
Malaria,diagnosed_by,RDT_Test
HIV,diagnosed_by,ELISA_Test
HIV,diagnosed_by,Western_Blot
Hepatitis_B,diagnosed_by,HBsAg_Test
Hepatitis_C,diagnosed_by,HCV_RNA_Test
Pneumonia,diagnosed_by,Chest_Xray
Pneumonia,diagnosed_by,CT_Scan
Asthma,diagnosed_by,Spirometry
COPD,diagnosed_by,Spirometry
Sepsis,diagnosed_by,Blood_Culture
Sepsis,diagnosed_by,Lactate_Test
Dengue,diagnosed_by,NS1_Antigen_Test
Typhoid,diagnosed_by,Widal_Test
Typhoid,diagnosed_by,Blood_Culture

# --- Mode de transmission ---
Influenza,transmitted_by,Airborne_Droplets
COVID-19,transmitted_by,Airborne_Droplets
COVID-19,transmitted_by,Contact_Transmission
Tuberculosis,transmitted_by,Airborne_Droplets
Malaria,transmitted_by,Mosquito_Bite
Dengue,transmitted_by,Mosquito_Bite
HIV,transmitted_by,Blood_Contact
HIV,transmitted_by,Sexual_Contact
Hepatitis_B,transmitted_by,Blood_Contact
Hepatitis_B,transmitted_by,Sexual_Contact
Hepatitis_C,transmitted_by,Blood_Contact
Typhoid,transmitted_by,Contaminated_Water
Typhoid,transmitted_by,Contaminated_Food
Measles,transmitted_by,Airborne_Droplets
Chickenpox,transmitted_by,Airborne_Droplets
Meningitis,transmitted_by,Direct_Contact

# --- Prévention & Vaccins ---
Influenza,prevented_by,Influenza_Vaccine
COVID-19,prevented_by,COVID_Vaccine
Tuberculosis,prevented_by,BCG_Vaccine
Malaria,prevented_by,Malaria_Prophylaxis
Dengue,prevented_by,Dengue_Vaccine
HIV,prevented_by,PrEP
Hepatitis_B,prevented_by,Hepatitis_B_Vaccine
Measles,prevented_by,MMR_Vaccine
Chickenpox,prevented_by,Varicella_Vaccine
Meningitis,prevented_by,Meningococcal_Vaccine
Typhoid,prevented_by,Typhoid_Vaccine
Pneumonia,prevented_by,Pneumococcal_Vaccine
Asthma,prevented_by,Allergen_Avoidance
COPD,prevented_by,Smoking_Cessation

# --- Sévérité ---
COVID-19,has_severity,Mild
COVID-19,has_severity,Moderate
COVID-19,has_severity,Severe
COVID-19,has_severity,Critical
Influenza,has_severity,Mild
Influenza,has_severity,Moderate
Influenza,has_severity,Severe
Pneumonia,has_severity,Moderate
Pneumonia,has_severity,Severe
Tuberculosis,has_severity,Moderate
Tuberculosis,has_severity,Severe
Malaria,has_severity,Mild
Malaria,has_severity,Severe
Sepsis,has_severity,Severe
Sepsis,has_severity,Critical
HIV,has_severity,Chronic
Meningitis,has_severity,Severe
Dengue,has_severity,Mild
Dengue,has_severity,Severe

# --- Populations à risque ---
Influenza,affects_population,Elderly
Influenza,affects_population,Immunocompromised
COVID-19,affects_population,Elderly
COVID-19,affects_population,Diabetic_Patients
COVID-19,affects_population,Obese_Patients
Pneumonia,affects_population,Elderly
Pneumonia,affects_population,Infants
Tuberculosis,affects_population,Immunocompromised
Malaria,affects_population,Children
Malaria,affects_population,Pregnant_Women
Dengue,affects_population,Children
HIV,affects_population,Sexual_Active_Adults
Asthma,affects_population,Children
COPD,affects_population,Smokers
COPD,affects_population,Elderly

# --- Organe cible ---
Influenza,affects_organ,Respiratory_System
COVID-19,affects_organ,Respiratory_System
COVID-19,affects_organ,Lungs
Pneumonia,affects_organ,Lungs
Bronchitis,affects_organ,Bronchi
Tuberculosis,affects_organ,Lungs
Asthma,affects_organ,Airways
COPD,affects_organ,Lungs
HIV,affects_organ,Immune_System
Hepatitis_B,affects_organ,Liver
Hepatitis_C,affects_organ,Liver
Malaria,affects_organ,Red_Blood_Cells
Meningitis,affects_organ,Brain
Meningitis,affects_organ,Spinal_Cord

# --- Comorbidités ---
COVID-19,worsened_by,Diabetes_Type_2
COVID-19,worsened_by,Hypertension
COVID-19,worsened_by,Obesity
Influenza,worsened_by,Asthma
Influenza,worsened_by,COPD
Pneumonia,worsened_by,COPD
Pneumonia,worsened_by,HIV
Malaria,worsened_by,Malnutrition
HIV,worsened_by,Tuberculosis
Tuberculosis,worsened_by,HIV

# --- Complications ---
COVID-19,can_cause,Long_COVID
COVID-19,can_cause,Myocarditis
COVID-19,can_cause,Blood_Clots
Influenza,can_cause,Pneumonia
Influenza,can_cause,Myocarditis
Pneumonia,can_cause,Sepsis
Pneumonia,can_cause,Respiratory_Failure
Tuberculosis,can_cause,Lung_Damage
Malaria,can_cause,Cerebral_Malaria
Malaria,can_cause,Organ_Failure
HIV,can_cause,AIDS
Hepatitis_B,can_cause,Liver_Cirrhosis
Hepatitis_C,can_cause,Liver_Cirrhosis
Hepatitis_B,can_cause,Liver_Cancer
Meningitis,can_cause,Brain_Damage
Meningitis,can_cause,Hearing_Loss
Dengue,can_cause,Dengue_Hemorrhagic_Fever
Sepsis,can_cause,Organ_Failure
Sepsis,can_cause,Death
Asthma,can_cause,Status_Asthmaticus

# --- Durée de la maladie ---
Influenza,typical_duration,7_Days
COVID-19,typical_duration,14_Days
Bronchitis,typical_duration,10_Days
Chickenpox,typical_duration,10_Days
Malaria,typical_duration,21_Days
Hay_Fever,typical_duration,Seasonal
COPD,typical_duration,Chronic
HIV,typical_duration,Chronic
Asthma,typical_duration,Chronic
Tuberculosis,typical_duration,6_Months_Treatment
