question_id,head,relation
Q0001,Codeine,contraindicated_with
Q0002,Hay_Fever,typical_duration
Q0003,Isoniazid,contraindicated_with
Q0004,Ribavirin,contraindicated_with
Q0005,Sofosbuvir,interacts_with
Q0006,Tenofovir,interacts_with
Q0007,Montelukast,treats
Q0008,Acyclovir,treats
Q0009,Artemisinin,treats
Q0010,Budesonide,treats
Q0011,Ceftriaxone,treats
Q0012,Cetirizine,treats
Q0013,Codeine,treats
Q0014,Dexamethasone,treats
Q0015,Ethambutol,treats
Q0016,Fexofenadine,treats
Q0017,Fluticasone,treats
Q0018,Ipratropium,treats
Q0019,Loratadine,treats
Q0020,Metronidazole,treats
Q0021,Paxlovid,treats
Q0022,Penicillin,treats
Q0023,Piperacillin,treats
Q0024,Prednisolone,treats
Q0025,Prednisone,treats
Q0026,Pyrazinamide,treats
Q0027,Quinine,treats
Q0028,Remdesivir,treats
Q0029,Salmeterol,treats
Q0030,Tiotropium,treats
Q0031,Vancomycin,treats
Q0032,Zanamivir,treats
Q0033,Isoniazid,treats
Q0034,Ribavirin,treats
Q0035,Sofosbuvir,treats
Q0036,Tenofovir,treats
Q0037,Acyclovir,is_a
Q0038,Albuterol,is_a
Q0039,Artemisinin,is_a
Q0040,Azithromycin,is_a
Q0041,Budesonide,is_a
Q0042,Ceftriaxone,is_a
Q0043,Cetirizine,is_a
Q0044,Dexamethasone,is_a
Q0045,Ethambutol,is_a
Q0046,Fexofenadine,is_a
Q0047,Fluticasone,is_a
Q0048,Ipratropium,is_a
Q0049,Loratadine,is_a
Q0050,Metronidazole,is_a
Q0051,Paxlovid,is_a
Q0052,Penicillin,is_a
Q0053,Piperacillin,is_a
Q0054,Prednisolone,is_a
Q0055,Prednisone,is_a
Q0056,Pulmonary_Fibrosis,is_a
Q0057,Pyrazinamide,is_a
Q0058,Quinine,is_a
Q0059,Remdesivir,is_a
Q0060,Salmeterol,is_a
Q0061,Sleep_Apnea,is_a
Q0062,Tiotropium,is_a
Q0063,Vancomycin,is_a
Q0064,Zanamivir,is_a
Q0065,Hay_Fever,is_a
Q0066,Isoniazid,is_a
Q0067,Ribavirin,is_a
Q0068,Sofosbuvir,is_a
Q0069,Tenofovir,is_a
Q0070,Amoxicillin,contraindicated_with
Q0071,Amoxicillin,interacts_with
Q0072,Bronchitis,typical_duration
Q0073,Chloroquine,contraindicated_with
Q0074,Chloroquine,interacts_with
Q0075,Ciprofloxacin,contraindicated_with
Q0076,Ciprofloxacin,interacts_with
Q0077,Doxycycline,contraindicated_with
Q0078,Doxycycline,interacts_with
Q0079,Oseltamivir,contraindicated_with
Q0080,Oseltamivir,interacts_with
Q0081,Rifampicin,contraindicated_with
Q0082,Rifampicin,interacts_with
Q0083,Theophylline,contraindicated_with
Q0084,Theophylline,interacts_with
Q0085,Chickenpox,typical_duration
Q0086,COPD,typical_duration
Q0087,Asthma,typical_duration
Q0088,Pneumonia,worsened_by
Q0089,COVID-19,typical_duration
Q0090,HIV,typical_duration
Q0091,HIV,worsened_by
Q0092,Influenza,typical_duration
Q0093,Influenza,worsened_by
Q0094,Malaria,typical_duration
Q0095,Malaria,worsened_by
Q0096,Tuberculosis,typical_duration
Q0097,Tuberculosis,worsened_by
Q0098,Bronchitis,affects_organ
Q0099,Measles,prevented_by
Q0100,Chickenpox,prevented_by
Q0101,Typhoid,prevented_by
Q0102,Hepatitis_C,affects_organ
Q0103,COPD,affects_organ
Q0104,COPD,prevented_by
Q0105,Hepatitis_B,affects_organ
Q0106,Hepatitis_B,prevented_by
Q0107,Meningitis,affects_organ
Q0108,Meningitis,prevented_by
Q0109,Asthma,affects_organ
Q0110,Asthma,prevented_by
Q0111,Dengue,prevented_by
Q0112,Pneumonia,affects_organ
Q0113,Pneumonia,prevented_by
Q0114,COVID-19,affects_organ
Q0115,COVID-19,prevented_by
Q0116,HIV,affects_organ
Q0117,HIV,prevented_by
Q0118,Influenza,affects_organ
Q0119,Influenza,prevented_by
Q0120,Malaria,affects_organ
Q0121,Malaria,prevented_by
Q0122,Tuberculosis,affects_organ
Q0123,Tuberculosis,prevented_by
Q0124,COPD,affects_population
Q0125,Asthma,affects_population
Q0126,Dengue,affects_population
Q0127,Pneumonia,affects_population
Q0128,HIV,affects_population
Q0129,Influenza,affects_population
Q0130,Malaria,affects_population
Q0131,Tuberculosis,affects_population
Q0132,Measles,transmitted_by
Q0133,Chickenpox,transmitted_by
Q0134,Typhoid,transmitted_by
Q0135,Hepatitis_C,transmitted_by
Q0136,Hepatitis_B,transmitted_by
Q0137,Meningitis,transmitted_by
Q0138,Dengue,transmitted_by
Q0139,COVID-19,transmitted_by
Q0140,HIV,transmitted_by
Q0141,Influenza,transmitted_by
Q0142,Malaria,transmitted_by
Q0143,Tuberculosis,transmitted_by
Q0144,Sepsis,has_severity
Q0145,Meningitis,has_severity
Q0146,Dengue,has_severity
Q0147,Pneumonia,has_severity
Q0148,HIV,has_severity
Q0149,Malaria,has_severity
Q0150,Tuberculosis,has_severity
Q0151,Sepsis,can_cause
Q0152,Sepsis,diagnosed_by
Q0153,Typhoid,diagnosed_by
Q0154,Hepatitis_C,can_cause
Q0155,Hepatitis_C,diagnosed_by
Q0156,COPD,diagnosed_by
Q0157,Hepatitis_B,can_cause
Q0158,Hepatitis_B,diagnosed_by
Q0159,Meningitis,can_cause
Q0160,Asthma,can_cause
Q0161,Asthma,diagnosed_by
Q0162,Dengue,can_cause
Q0163,Dengue,diagnosed_by
Q0164,Pneumonia,can_cause
Q0165,Pneumonia,diagnosed_by
Q0166,COVID-19,diagnosed_by
Q0167,HIV,can_cause
Q0168,HIV,diagnosed_by
Q0169,Influenza,can_cause
Q0170,Influenza,diagnosed_by
Q0171,Malaria,can_cause
Q0172,Malaria,diagnosed_by
Q0173,Tuberculosis,can_cause
Q0174,Tuberculosis,diagnosed_by
Q0175,Chloroquine,treats
Q0176,Oseltamivir,treats
Q0177,Rifampicin,treats
Q0178,Theophylline,treats
Q0179,Amoxicillin,is_a
Q0180,Bronchitis,is_a
Q0181,Chloroquine,is_a
Q0182,Ciprofloxacin,is_a
Q0183,Doxycycline,is_a
Q0184,Measles,is_a
Q0185,Oseltamivir,is_a
Q0186,Rifampicin,is_a
Q0187,Theophylline,is_a
Q0188,Chickenpox,is_a
Q0189,Sepsis,is_a
Q0190,Typhoid,is_a
Q0191,Hepatitis_C,is_a
Q0192,COPD,is_a
Q0193,Hepatitis_B,is_a
Q0194,Meningitis,is_a
Q0195,Asthma,is_a
Q0196,Dengue,is_a
Q0197,Pneumonia,is_a
Q0198,COVID-19,is_a
Q0199,HIV,is_a
Q0200,Influenza,is_a
Q0201,Malaria,is_a
Q0202,Tuberculosis,is_a
Q0203,COVID-19,worsened_by
Q0204,COVID-19,affects_population
Q0205,Influenza,has_severity
Q0206,COVID-19,can_cause
Q0207,Albuterol,treats
Q0208,Ciprofloxacin,treats
Q0209,Pulmonary_Edema,causes_symptom
Q0210,Pulmonary_Fibrosis,causes_symptom
Q0211,Chickenpox,causes_symptom
Q0212,Hepatitis_C,causes_symptom
Q0213,COVID-19,has_severity
Q0214,Doxycycline,treats
Q0215,Sleep_Apnea,causes_symptom
Q0216,Hay_Fever,causes_symptom
Q0217,Measles,causes_symptom
Q0218,Sepsis,causes_symptom
Q0219,Hepatitis_B,causes_symptom
Q0220,Meningitis,causes_symptom
Q0221,Azithromycin,treats
Q0222,Amoxicillin,treats
Q0223,COPD,causes_symptom
Q0224,Asthma,causes_symptom
Q0225,HIV,causes_symptom
Q0226,Bronchitis,causes_symptom
Q0227,Typhoid,causes_symptom
Q0228,Dengue,causes_symptom
Q0229,Tuberculosis,causes_symptom
Q0230,Malaria,causes_symptom
Q0231,Pneumonia,causes_symptom
Q0232,Influenza,causes_symptom
Q0233,COVID-19,causes_symptom
