question_id,head,relation,valid_tails,num_valid_tails,difficulty,kept_train_tails
Q0001,Chronic_Kidney_Disease,monitored_by,GFR_Test,1,easy,Creatinine_Test
Q0002,Peripheral_Artery_Disease,affects_organ,Peripheral_Arteries,1,easy,
Q0003,Apixaban,interacts_with,NSAIDs,1,easy,
Q0004,Atorvastatin,interacts_with,Clarithromycin,1,easy,
Q0005,Clopidogrel,interacts_with,Omeprazole,1,easy,
Q0006,Digoxin,interacts_with,Verapamil,1,easy,Amiodarone
Q0007,Rivaroxaban,interacts_with,Rifampicin,1,easy,
Q0008,Simvastatin,interacts_with,Amlodipine,1,easy,
Q0009,Allopurinol,contraindicated_with,Azathioprine,1,easy,
Q0010,Colchicine,contraindicated_with,Kidney_Failure,1,easy,
Q0011,Pioglitazone,contraindicated_with,Heart_Failure,1,easy,
Q0012,Atenolol,contraindicated_with,Asthma,1,easy,
Q0013,Canagliflozin,contraindicated_with,Kidney_Failure,1,easy,
Q0014,Digoxin,contraindicated_with,Hypokalemia,1,easy,
Q0015,Furosemide,contraindicated_with,Hypokalemia,1,easy,
Q0016,Heparin,contraindicated_with,Heparin_Induced_Thrombocytopenia,1,easy,
Q0017,Sitagliptin,contraindicated_with,Pancreatitis,1,easy,
Q0018,Verapamil,contraindicated_with,Heart_Failure,1,easy,
Q0019,Metabolic_Syndrome,diagnosed_by,Waist_Measurement,1,easy,
Q0020,Pulmonary_Embolism,diagnosed_by,CT_Pulmonary_Angiography,1,easy,
Q0021,Nitroglycerin,treats,Coronary_Artery_Disease,1,easy,Chest_Pain
Q0022,Allopurinol,treats,Gout,1,easy,
Q0023,Aspirin,treats,Stroke,1,easy,Myocardial_Infarction
Q0024,Candesartan,treats,Hypertension,1,easy,
Q0025,Carvedilol,treats,Hypertension,1,easy,Heart_Failure
Q0026,Colchicine,treats,Gout,1,easy,
Q0027,Diltiazem,treats,Hypertension,1,easy,Atrial_Fibrillation
Q0028,Enalapril,treats,Hypertension,1,easy,Heart_Failure
Q0029,Hydrochlorothiazide,treats,Hypertension,1,easy,Edema
Q0030,Insulin,treats,Diabetes_Type_2,1,easy,Diabetes_Type_1
Q0031,Liraglutide,treats,Diabetes_Type_2,1,easy,
Q0032,Losartan,treats,Hypertension,1,easy,Chronic_Kidney_Disease
Q0033,Pioglitazone,treats,Diabetes_Type_2,1,easy,
Q0034,Ramipril,treats,Hypertension,1,easy,Heart_Failure
Q0035,Rosuvastatin,treats,High_Cholesterol,1,easy,
Q0036,Ticagrelor,treats,Myocardial_Infarction,1,easy,
Q0037,Tirzepatide,treats,Diabetes_Type_2,1,easy,
Q0038,Torsemide,treats,Heart_Failure,1,easy,
Q0039,Valsartan,treats,Hypertension,1,easy,Heart_Failure
Q0040,Apixaban,treats,Pulmonary_Embolism,1,easy,Atrial_Fibrillation
Q0041,Atenolol,treats,Hypertension,1,easy,Atrial_Fibrillation
Q0042,Atorvastatin,treats,High_Cholesterol,1,easy,Coronary_Artery_Disease
Q0043,Canagliflozin,treats,Diabetes_Type_2,1,easy,
Q0044,Clopidogrel,treats,Myocardial_Infarction,1,easy,Blood_Clots
Q0045,Digoxin,treats,Heart_Failure,1,easy,Atrial_Fibrillation
Q0046,Furosemide,treats,Heart_Failure,1,easy,Edema
Q0047,Heparin,treats,Pulmonary_Embolism,1,easy,Deep_Vein_Thrombosis
Q0048,Rivaroxaban,treats,Deep_Vein_Thrombosis,1,easy,Atrial_Fibrillation
Q0049,Simvastatin,treats,High_Cholesterol,1,easy,
Q0050,Sitagliptin,treats,Diabetes_Type_2,1,easy,
Q0051,Verapamil,treats,Hypertension,1,easy,Atrial_Fibrillation
Q0052,Hyperkalemia,causes_symptom,Muscle_Weakness,1,easy,Irregular_Heartbeat
Q0053,Aspirin,is_a,Antiplatelet,1,easy,
Q0054,Candesartan,is_a,ARB,1,easy,
Q0055,Carvedilol,is_a,Beta_Blocker,1,easy,
Q0056,Diltiazem,is_a,Calcium_Channel_Blocker,1,easy,
Q0057,Enalapril,is_a,ACE_Inhibitor,1,easy,
Q0058,Hydrochlorothiazide,is_a,Diuretic,1,easy,
Q0059,Hypoglycemia,is_a,Metabolic_Disorder,1,easy,
Q0060,Insulin,is_a,Antidiabetic,1,easy,
Q0061,Liraglutide,is_a,Antidiabetic,1,easy,
Q0062,Losartan,is_a,ARB,1,easy,
Q0063,Ramipril,is_a,ACE_Inhibitor,1,easy,
Q0064,Rosuvastatin,is_a,Statin,1,easy,
Q0065,Ticagrelor,is_a,Antiplatelet,1,easy,
Q0066,Tirzepatide,is_a,Antidiabetic,1,easy,
Q0067,Torsemide,is_a,Diuretic,1,easy,
Q0068,Valsartan,is_a,ARB,1,easy,
Q0069,Apixaban,is_a,Anticoagulant,1,easy,
Q0070,Atenolol,is_a,Beta_Blocker,1,easy,
Q0071,Atorvastatin,is_a,Statin,1,easy,
Q0072,Canagliflozin,is_a,Antidiabetic,1,easy,
Q0073,Clopidogrel,is_a,Antiplatelet,1,easy,
Q0074,Furosemide,is_a,Diuretic,1,easy,
Q0075,Heparin,is_a,Anticoagulant,1,easy,
Q0076,Metabolic_Syndrome,is_a,Metabolic_Disorder,1,easy,
Q0077,Peripheral_Artery_Disease,is_a,Cardiovascular_Disorder,1,easy,
Q0078,Pulmonary_Embolism,is_a,Cardiovascular_Disorder,1,easy,
Q0079,Rivaroxaban,is_a,Anticoagulant,1,easy,
Q0080,Simvastatin,is_a,Statin,1,easy,
Q0081,Sitagliptin,is_a,Antidiabetic,1,easy,
Q0082,Verapamil,is_a,Calcium_Channel_Blocker,1,easy,
Q0083,Heart_Failure,monitored_by,Echocardiogram,1,medium,BNP_Test
Q0084,Warfarin,monitored_by,INR_Test,1,medium,
Q0085,Atrial_Fibrillation,monitored_by,INR_Test,1,medium,
Q0086,Hyperthyroidism,monitored_by,TSH_Test,1,medium,
Q0087,Dyslipidemia,monitored_by,Lipid_Panel,1,medium,
Q0088,Hypothyroidism,monitored_by,TSH_Test,1,medium,
Q0089,Diabetes_Type_2,monitored_by,HbA1c_Test,1,medium,Fasting_Glucose_Test
Q0090,Gout,monitored_by,Uric_Acid_Test,1,medium,
Q0091,Hypertension,monitored_by,Blood_Pressure_Measurement,1,medium,
Q0092,Diabetes_Type_1,affects_population,Young_Adults,1,medium,Children
Q0093,Coronary_Artery_Disease,affects_organ,Coronary_Arteries,1,medium,
Q0094,Heart_Failure,affects_organ,Heart,1,medium,
Q0095,Hyperthyroidism,affects_organ,Thyroid,1,medium,
Q0096,Myocardial_Infarction,affects_organ,Heart,1,medium,
Q0097,Myocardial_Infarction,affects_population,Males,1,medium,Elderly
Q0098,Dyslipidemia,affects_organ,Blood_Vessels,1,medium,
Q0099,Stroke,affects_organ,Brain,1,medium,
Q0100,Stroke,affects_population,Elderly,1,medium,
Q0101,Hypothyroidism,affects_organ,Thyroid,1,medium,
Q0102,Hypothyroidism,affects_population,Females,1,medium,Elderly
Q0103,Diabetes_Type_2,affects_organ,Pancreas,1,medium,Blood_Vessels
Q0104,Diabetes_Type_2,affects_population,Overweight_Adults,1,medium,Elderly
Q0105,Gout,affects_organ,Joints,1,medium,
Q0106,Gout,affects_population,Males,1,medium,Elderly
Q0107,Amlodipine,interacts_with,Simvastatin,1,medium,
Q0108,Lisinopril,interacts_with,Potassium_Supplements,1,medium,
Q0109,Metformin,interacts_with,Iodinated_Contrast,1,medium,
Q0110,Metoprolol,interacts_with,Diltiazem,1,medium,
Q0111,Spironolactone,interacts_with,Lisinopril,1,medium,
Q0112,Coronary_Artery_Disease,prevented_by,Statin_Therapy,1,medium,Smoking_Cessation
Q0113,Deep_Vein_Thrombosis,prevented_by,Compression_Stockings,1,medium,
Q0114,Obesity,prevented_by,Balanced_Diet,1,medium,
Q0115,Dyslipidemia,prevented_by,Low_Fat_Diet,1,medium,
Q0116,Stroke,prevented_by,Blood_Pressure_Control,1,medium,Anticoagulation
Q0117,Gout,prevented_by,Low_Purine_Diet,1,medium,Hydration
Q0118,Amlodipine,contraindicated_with,Heart_Failure,1,medium,
Q0119,Lisinopril,contraindicated_with,Pregnancy,1,medium,Hyperkalemia
Q0120,Metformin,contraindicated_with,Liver_Failure,1,medium,Kidney_Failure
Q0121,Metoprolol,contraindicated_with,Heart_Block,1,medium,
Q0122,Spironolactone,contraindicated_with,Hyperkalemia,1,medium,
Q0123,Warfarin,contraindicated_with,Pregnancy,1,medium,Active_Bleeding
Q0124,Deep_Vein_Thrombosis,can_cause,Pulmonary_Embolism,1,medium,
Q0125,Atrial_Fibrillation,can_cause,Stroke,1,medium,Heart_Failure
Q0126,Hyperthyroidism,can_cause,Atrial_Fibrillation,1,medium,
Q0127,Myocardial_Infarction,can_cause,Heart_Failure,1,medium,Arrhythmia
Q0128,Obesity,can_cause,Sleep_Apnea,1,medium,Diabetes_Type_2
Q0129,Stroke,can_cause,Speech_Difficulty,1,medium,Paralysis
Q0130,Hypothyroidism,can_cause,Dyslipidemia,1,medium,
Q0131,Gout,can_cause,Kidney_Stones,1,medium,
Q0132,Atrial_Fibrillation,risk_factor_for,Stroke,1,medium,Heart_Failure
Q0133,Dyslipidemia,risk_factor_for,Stroke,1,medium,Coronary_Artery_Disease
Q0134,Hypothyroidism,risk_factor_for,Heart_Failure,1,medium,Dyslipidemia
Q0135,Gout,risk_factor_for,Hypertension,1,medium,Coronary_Artery_Disease
Q0136,Diabetes_Type_1,diagnosed_by,C_Peptide_Test,1,medium,
Q0137,Coronary_Artery_Disease,diagnosed_by,Stress_Test,1,medium,Coronary_Angiography
Q0138,Deep_Vein_Thrombosis,diagnosed_by,Ultrasound,1,medium,
Q0139,Heart_Failure,diagnosed_by,Echocardiogram,1,medium,BNP_Test
Q0140,Atrial_Fibrillation,diagnosed_by,Holter_Monitor,1,medium,ECG
Q0141,Hyperthyroidism,diagnosed_by,TSH_Test,1,medium,T4_Test
Q0142,Myocardial_Infarction,diagnosed_by,Troponin_Test,1,medium,ECG
Q0143,Obesity,diagnosed_by,BMI_Measurement,1,medium,
Q0144,Dyslipidemia,diagnosed_by,Lipid_Panel,1,medium,
Q0145,Stroke,diagnosed_by,MRI,1,medium,CT_Scan
Q0146,Hypothyroidism,diagnosed_by,TSH_Test,1,medium,
Q0147,Diabetes_Type_2,diagnosed_by,HbA1c_Test,1,medium,Fasting_Glucose_Test
Q0148,Gout,diagnosed_by,Uric_Acid_Test,1,medium,Joint_Fluid_Analysis
Q0149,Hypertension,diagnosed_by,Blood_Pressure_Measurement,1,medium,
Q0150,Amlodipine,treats,Hypertension,1,medium,Coronary_Artery_Disease
Q0151,Metformin,treats,Diabetes_Type_2,1,medium,
Q0152,Spironolactone,treats,Hypertension,1,medium,Heart_Failure
Q0153,Warfarin,treats,Deep_Vein_Thrombosis,1,medium,Atrial_Fibrillation
Q0154,Amlodipine,is_a,Calcium_Channel_Blocker,1,medium,
Q0155,Diabetes_Type_1,is_a,Metabolic_Disorder,1,medium,
Q0156,Lisinopril,is_a,ACE_Inhibitor,1,medium,
Q0157,Metformin,is_a,Antidiabetic,1,medium,
Q0158,Metoprolol,is_a,Beta_Blocker,1,medium,
Q0159,Spironolactone,is_a,Diuretic,1,medium,
Q0160,Coronary_Artery_Disease,is_a,Cardiovascular_Disorder,1,medium,
Q0161,Deep_Vein_Thrombosis,is_a,Cardiovascular_Disorder,1,medium,
Q0162,Heart_Failure,is_a,Cardiovascular_Disorder,1,medium,
Q0163,Warfarin,is_a,Anticoagulant,1,medium,
Q0164,Atrial_Fibrillation,is_a,Cardiovascular_Disorder,1,medium,
Q0165,Hyperthyroidism,is_a,Metabolic_Disorder,1,medium,
Q0166,Myocardial_Infarction,is_a,Cardiovascular_Disorder,1,medium,
Q0167,Obesity,is_a,Metabolic_Disorder,1,medium,
Q0168,Dyslipidemia,causes_symptom,High_Triglycerides,1,medium,High_Cholesterol
Q0169,Dyslipidemia,is_a,Metabolic_Disorder,1,medium,
Q0170,Stroke,is_a,Cardiovascular_Disorder,1,medium,
Q0171,Hypothyroidism,is_a,Metabolic_Disorder,1,medium,
Q0172,Diabetes_Type_2,is_a,Metabolic_Disorder,1,medium,
Q0173,Gout,is_a,Metabolic_Disorder,1,medium,
Q0174,Hypertension,is_a,Cardiovascular_Disorder,1,medium,
Q0175,Hypertension,affects_organ,Heart|Kidneys,2,hard,Blood_Vessels
Q0176,Hypertension,affects_population,Elderly|Obese_Patients,2,hard,African_Americans
Q0177,Warfarin,interacts_with,Aspirin|NSAIDs,2,hard,Amoxicillin
Q0178,Diabetes_Type_2,prevented_by,Physical_Activity|Weight_Loss,2,hard,Low_Carb_Diet
Q0179,Hypertension,prevented_by,Regular_Exercise|Weight_Loss,2,hard,Low_Sodium_Diet
Q0180,Smoking,risk_factor_for,Hypertension|Stroke,2,hard,Coronary_Artery_Disease
Q0181,Obesity,risk_factor_for,Heart_Failure|Hypertension,2,hard,Diabetes_Type_2
Q0182,Diabetes_Type_2,risk_factor_for,Peripheral_Artery_Disease|Stroke,2,hard,Coronary_Artery_Disease
Q0183,Lisinopril,treats,Heart_Failure|Hypertension,2,hard,Chronic_Kidney_Disease
Q0184,Metoprolol,treats,Heart_Failure|Hypertension,2,hard,Atrial_Fibrillation
Q0185,Hyponatremia,causes_symptom,Nausea|Seizures,2,hard,Confusion
Q0186,Metabolic_Syndrome,causes_symptom,High_Blood_Pressure|High_Blood_Sugar,2,hard,Abdominal_Obesity
Q0187,Peripheral_Artery_Disease,causes_symptom,Leg_Pain|Numbness_in_Legs,2,hard,Leg_Cramps
Q0188,Deep_Vein_Thrombosis,causes_symptom,Leg_Swelling|Redness,2,hard,Leg_Pain
Q0189,Diabetes_Type_2,can_cause,Diabetic_Neuropathy|Diabetic_Retinopathy|Peripheral_Artery_Disease,3,hard,Chronic_Kidney_Disease
Q0190,Hypertension,can_cause,Heart_Failure|Myocardial_Infarction|Stroke,3,hard,Chronic_Kidney_Disease
