# ============================================================
# INSTANCE 2 — Maladies Chroniques, Cardiovasculaires & Métaboliques
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Cardiovasculaires & Symptômes ---
Hypertension,causes_symptom,Blurred_Vision
Heart_Failure,causes_symptom,Chest_Pain
Coronary_Artery_Disease,causes_symptom,Chest_Pain
Myocardial_Infarction,causes_symptom,Jaw_Pain
Atrial_Fibrillation,causes_symptom,Dizziness
Stroke,causes_symptom,Confusion
Peripheral_Artery_Disease,causes_symptom,Leg_Cramps
Deep_Vein_Thrombosis,causes_symptom,Leg_Pain
Pulmonary_Embolism,causes_symptom,Chest_Pain

# --- Maladies Métaboliques & Symptômes ---
Diabetes_Type_1,causes_symptom,Blurred_Vision
Diabetes_Type_2,causes_symptom,Blurred_Vision
Obesity,causes_symptom,Fatigue
Metabolic_Syndrome,causes_symptom,Abdominal_Obesity
Hypothyroidism,causes_symptom,Cold_Intolerance
Hyperthyroidism,causes_symptom,Anxiety
Gout,causes_symptom,Joint_Stiffness
Dyslipidemia,causes_symptom,High_Cholesterol
Hypoglycemia,causes_symptom,Confusion
Hyperkalemia,causes_symptom,Irregular_Heartbeat
Hyponatremia,causes_symptom,Confusion

# --- Traitements Cardiovasculaires ---
Lisinopril,treats,Chronic_Kidney_Disease
Enalapril,treats,Heart_Failure
Ramipril,treats,Heart_Failure
Metoprolol,treats,Atrial_Fibrillation
Atenolol,treats,Atrial_Fibrillation
Carvedilol,treats,Heart_Failure
Amlodipine,treats,Coronary_Artery_Disease
Diltiazem,treats,Atrial_Fibrillation
Verapamil,treats,Atrial_Fibrillation
Hydrochlorothiazide,treats,Edema
Furosemide,treats,Edema
Spironolactone,treats,Heart_Failure
Valsartan,treats,Heart_Failure
Losartan,treats,Chronic_Kidney_Disease
Digoxin,treats,Atrial_Fibrillation
Sacubitril,treats,Heart_Failure
Ivabradine,treats,Heart_Failure
Nitroglycerin,treats,Chest_Pain
Isosorbide,treats,Coronary_Artery_Disease
Aspirin,treats,Myocardial_Infarction
Clopidogrel,treats,Blood_Clots
Warfarin,treats,Atrial_Fibrillation
Rivaroxaban,treats,Atrial_Fibrillation
Apixaban,treats,Atrial_Fibrillation
Heparin,treats,Deep_Vein_Thrombosis
Atorvastatin,treats,Coronary_Artery_Disease
Ezetimibe,treats,High_Cholesterol
Fenofibrate,treats,High_Triglycerides
Indomethacin,treats,Gout

# --- Traitements Métaboliques ---
Insulin,treats,Diabetes_Type_1
Glimepiride,treats,Diabetes_Type_2
Glyburide,treats,Diabetes_Type_2
Gliclazide,treats,Diabetes_Type_2
Vildagliptin,treats,Diabetes_Type_2
Saxagliptin,treats,Diabetes_Type_2
Linagliptin,treats,Diabetes_Type_2
Dapagliflozin,treats,Diabetes_Type_2
Empagliflozin,treats,Diabetes_Type_2
Semaglutide,treats,Diabetes_Type_2
Exenatide,treats,Diabetes_Type_2
Levothyroxine,treats,Hypothyroidism
Methimazole,treats,Hyperthyroidism
Propylthiouracil,treats,Hyperthyroidism
Radioactive_Iodine,treats,Hyperthyroidism
Dextrose,treats,Hypoglycemia
Glucagon,treats,Hypoglycemia

# --- Taxonomie Maladies Cardiovasculaires ---
Cardiovascular_Disorder,is_a,Maladie
Metabolic_Disorder,is_a,Maladie

# --- Taxonomie Médicaments Cardiovasculaires ---
ACE_Inhibitor,is_a,Medicament
Beta_Blocker,is_a,Medicament
Calcium_Channel_Blocker,is_a,Medicament
Diuretic,is_a,Medicament
ARB,is_a,Medicament
Anticoagulant,is_a,Medicament
Antiplatelet,is_a,Medicament
Statin,is_a,Medicament
Antidiabetic,is_a,Medicament

# --- Taxonomie Symptômes ---
High_Blood_Pressure,is_a,Symptom
Dizziness,is_a,Symptom
Blurred_Vision,is_a,Symptom
Nosebleed,is_a,Symptom
Edema,is_a,Symptom
Heart_Palpitations,is_a,Symptom
Severe_Chest_Pain,is_a,Symptom
Left_Arm_Pain,is_a,Symptom
Jaw_Pain,is_a,Symptom
Irregular_Heartbeat,is_a,Symptom
Sudden_Weakness,is_a,Symptom
Speech_Difficulty,is_a,Symptom
Facial_Drooping,is_a,Symptom
Vision_Loss,is_a,Symptom
Leg_Pain,is_a,Symptom
Leg_Cramps,is_a,Symptom
Numbness_in_Legs,is_a,Symptom
Leg_Swelling,is_a,Symptom
Frequent_Urination,is_a,Symptom
Slow_Healing,is_a,Symptom
Numbness_in_Feet,is_a,Symptom
Cold_Intolerance,is_a,Symptom
Heat_Intolerance,is_a,Symptom
Tremors,is_a,Symptom
Abdominal_Obesity,is_a,Symptom
Shakiness,is_a,Symptom
Muscle_Weakness,is_a,Symptom
