# ============================================================
# INSTANCE 3 — Neurologie, Psychiatrie, Gastroentérologie & Douleur
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Neurologiques & Symptômes ---
Migraine,causes_symptom,Headache
Migraine,causes_symptom,Nausea
Migraine,causes_symptom,Vomiting
Migraine,causes_symptom,Sensitivity_to_Light
Migraine,causes_symptom,Sensitivity_to_Sound
Migraine,causes_symptom,Visual_Aura
Migraine,causes_symptom,Dizziness
Migraine,causes_symptom,Fatigue
Epilepsy,causes_symptom,Seizures
Epilepsy,causes_symptom,Loss_of_Consciousness
Epilepsy,causes_symptom,Confusion
Epilepsy,causes_symptom,Muscle_Stiffness
Epilepsy,causes_symptom,Tremors
Parkinson_Disease,causes_symptom,Tremors
Parkinson_Disease,causes_symptom,Rigidity
Parkinson_Disease,causes_symptom,Slow_Movement
Parkinson_Disease,causes_symptom,Balance_Problems
Parkinson_Disease,causes_symptom,Stooped_Posture
Parkinson_Disease,causes_symptom,Speech_Difficulty
Alzheimer_Disease,causes_symptom,Memory_Loss
Alzheimer_Disease,causes_symptom,Confusion
Alzheimer_Disease,causes_symptom,Disorientation
Alzheimer_Disease,causes_symptom,Personality_Changes
Alzheimer_Disease,causes_symptom,Language_Problems
Multiple_Sclerosis,causes_symptom,Numbness
Multiple_Sclerosis,causes_symptom,Vision_Problems
Multiple_Sclerosis,causes_symptom,Fatigue
Multiple_Sclerosis,causes_symptom,Muscle_Weakness
Multiple_Sclerosis,causes_symptom,Coordination_Problems
Multiple_Sclerosis,causes_symptom,Bladder_Problems
Neuropathic_Pain,causes_symptom,Burning_Sensation
Neuropathic_Pain,causes_symptom,Tingling
Neuropathic_Pain,causes_symptom,Electric_Shock_Pain
Neuropathic_Pain,causes_symptom,Numbness
Tension_Headache,causes_symptom,Mild_Headache
Tension_Headache,causes_symptom,Neck_Stiffness
Tension_Headache,causes_symptom,Scalp_Tenderness
Cluster_Headache,causes_symptom,Severe_Eye_Pain
Cluster_Headache,causes_symptom,Runny_Nose
Cluster_Headache,causes_symptom,Red_Eye
Vertigo,causes_symptom,Dizziness
Vertigo,causes_symptom,Balance_Problems
