# ============================================================
# INSTANCE 3 — Neurologie, Psychiatrie, Gastroentérologie & Douleur
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Neurologiques & Symptômes ---
Migraine,causes_symptom,Dizziness
Epilepsy,causes_symptom,Confusion
Parkinson_Disease,causes_symptom,Balance_Problems
Alzheimer_Disease,causes_symptom,Confusion
Multiple_Sclerosis,causes_symptom,Bladder_Problems
Neuropathic_Pain,causes_symptom,Burning_Sensation
Tension_Headache,causes_symptom,Mild_Headache
Cluster_Headache,causes_symptom,Red_Eye
Vertigo,causes_symptom,Balance_Problems
Narcolepsy,causes_symptom,Excessive_Daytime_Sleepiness
Restless_Leg_Syndrome,causes_symptom,Leg_Discomfort
Trigeminal_Neuralgia,causes_symptom,Electric_Shock_Facial_Pain

# --- Maladies Psychiatriques & Symptômes ---
Depression,causes_symptom,Appetite_Changes
Anxiety_Disorder,causes_symptom,Excessive_Worry
Panic_Disorder,causes_symptom,Chest_Pain
Bipolar_Disorder,causes_symptom,Depression
Schizophrenia,causes_symptom,Delusions
PTSD,causes_symptom,Emotional_Numbness
OCD,causes_symptom,Anxiety
Insomnia,causes_symptom,Concentration_Problems
ADHD,causes_symptom,Hyperactivity
Autism_Spectrum_Disorder,causes_symptom,Repetitive_Behaviors
Eating_Disorder,causes_symptom,Distorted_Body_Image

# --- Maladies Digestives & Symptômes ---
Gastritis,causes_symptom,Bloating
GERD,causes_symptom,Acid_Reflux
Peptic_Ulcer,causes_symptom,Appetite_Loss
Crohn_Disease,causes_symptom,Abdominal_Pain
Ulcerative_Colitis,causes_symptom,Abdominal_Cramps
Irritable_Bowel_Syndrome,causes_symptom,Abdominal_Pain
Celiac_Disease,causes_symptom,Abdominal_Pain
Pancreatitis,causes_symptom,Fever
Liver_Cirrhosis,causes_symptom,Abdominal_Swelling
Cholecystitis,causes_symptom,Fever
Appendicitis,causes_symptom,Fever

# --- Traitements Neurologiques ---
Sumatriptan,treats,Cluster_Headache
Topiramate,treats,Migraine
Valproate,treats,Bipolar_Disorder
Carbamazepine,treats,Epilepsy
Gabapentin,treats,Epilepsy
Pregabalin,treats,Fibromyalgia
Lamotrigine,treats,Bipolar_Disorder
Diazepam,treats,Epilepsy
Clonazepam,treats,Anxiety_Disorder
Levodopa,treats,Parkinson_Disease
Carbidopa,treats,Parkinson_Disease
Pramipexole,treats,Parkinson_Disease
Ropinirole,treats,Parkinson_Disease
Rasagiline,treats,Parkinson_Disease
Memantine,treats,Alzheimer_Disease
Donepezil,treats,Alzheimer_Disease
Rivastigmine,treats,Alzheimer_Disease
