# ============================================================
# INSTANCE 4 — Rhumatologie, Oncologie, Pédiatrie, Dermatologie & Pharmacologie
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Rhumatologiques & Symptômes ---
Rheumatoid_Arthritis,causes_symptom,Joint_Pain
Rheumatoid_Arthritis,causes_symptom,Joint_Swelling
Rheumatoid_Arthritis,causes_symptom,Morning_Stiffness
Rheumatoid_Arthritis,causes_symptom,Fatigue
Rheumatoid_Arthritis,causes_symptom,Fever
Rheumatoid_Arthritis,causes_symptom,Weight_Loss
Osteoarthritis,causes_symptom,Joint_Pain
Osteoarthritis,causes_symptom,Joint_Stiffness
Osteoarthritis,causes_symptom,Reduced_Mobility
Osteoarthritis,causes_symptom,Swelling
Lupus,causes_symptom,Butterfly_Rash
Lupus,causes_symptom,Joint_Pain
Lupus,causes_symptom,Fatigue
Lupus,causes_symptom,Fever
Lupus,causes_symptom,Sensitivity_to_Light
Lupus,causes_symptom,Hair_Loss
Fibromyalgia,causes_symptom,Widespread_Pain
Fibromyalgia,causes_symptom,Fatigue
Fibromyalgia,causes_symptom,Sleep_Difficulty
Fibromyalgia,causes_symptom,Memory_Problems
Fibromyalgia,causes_symptom,Headache
Ankylosing_Spondylitis,causes_symptom,Lower_Back_Pain
Ankylosing_Spondylitis,causes_symptom,Morning_Stiffness
Ankylosing_Spondylitis,causes_symptom,Hip_Pain
Ankylosing_Spondylitis,causes_symptom,Fatigue
Gout,causes_symptom,Severe_Joint_Pain
Gout,causes_symptom,Swollen_Joint
Gout,causes_symptom,Redness_in_Joint
Gout,causes_symptom,Joint_Warmth
Psoriatic_Arthritis,causes_symptom,Joint_Pain
Psoriatic_Arthritis,causes_symptom,Swollen_Fingers
Psoriatic_Arthritis,causes_symptom,Skin_Plaques
Sjogren_Syndrome,causes_symptom,Dry_Eyes
Sjogren_Syndrome,causes_symptom,Dry_Mouth
Sjogren_Syndrome,causes_symptom,Fatigue
Sjogren_Syndrome,causes_symptom,Joint_Pain
Vasculitis,causes_symptom,Fatigue
Vasculitis,causes_symptom,Fever
Vasculitis,causes_symptom,Skin_Inflammation

# --- Maladies Oncologiques & Symptômes ---
Lung_Cancer,causes_symptom,Persistent_Cough
Lung_Cancer,causes_symptom,Coughing_Blood
Lung_Cancer,causes_symptom,Shortness_of_Breath
Lung_Cancer,causes_symptom,Chest_Pain
Lung_Cancer,causes_symptom,Weight_Loss
Lung_Cancer,causes_symptom,Fatigue
Breast_Cancer,causes_symptom,Breast_Lump
Breast_Cancer,causes_symptom,Nipple_Discharge
Breast_Cancer,causes_symptom,Breast_Pain
Breast_Cancer,causes_symptom,Skin_Changes
Colorectal_Cancer,causes_symptom,Bloody_Stool
Colorectal_Cancer,causes_symptom,Change_in_Bowel_Habits
Colorectal_Cancer,causes_symptom,Abdominal_Pain
Colorectal_Cancer,causes_symptom,Weight_Loss
Prostate_Cancer,causes_symptom,Difficulty_Urinating
Prostate_Cancer,causes_symptom,Blood_in_Urine
Prostate_Cancer,causes_symptom,Pelvic_Pain
Prostate_Cancer,causes_symptom,Bone_Pain
Leukemia,causes_symptom,Fatigue
Leukemia,causes_symptom,Frequent_Infections
Leukemia,causes_symptom,Easy_Bruising
Leukemia,causes_symptom,Bone_Pain
Leukemia,causes_symptom,Fever
Lymphoma,causes_symptom,Swollen_Lymph_Nodes
Lymphoma,causes_symptom,Night_Sweats
Lymphoma,causes_symptom,Weight_Loss
Lymphoma,causes_symptom,Fatigue
Melanoma,causes_symptom,Changing_Mole
Melanoma,causes_symptom,Irregular_Borders
Melanoma,causes_symptom,Color_Changes_in_Skin
Stomach_Cancer,causes_symptom,Abdominal_Pain
Stomach_Cancer,causes_symptom,Nausea
Stomach_Cancer,causes_symptom,Weight_Loss
Stomach_Cancer,causes_symptom,Difficulty_Swallowing
Liver_Cancer,causes_symptom,Jaundice
Liver_Cancer,causes_symptom,Abdominal_Swelling
Liver_Cancer,causes_symptom,Weight_Loss
Pancreatic_Cancer,causes_symptom,Abdominal_Pain
Pancreatic_Cancer,causes_symptom,Jaundice
Pancreatic_Cancer,causes_symptom,Weight_Loss
Bladder_Cancer,causes_symptom,Blood_in_Urine
Bladder_Cancer,causes_symptom,Frequent_Urination
Bladder_Cancer,causes_symptom,Painful_Urination

# --- Maladies Dermatologiques & Symptômes ---
Psoriasis,causes_symptom,Skin_Plaques
Psoriasis,causes_symptom,Itching
Psoriasis,causes_symptom,Scaling
Psoriasis,causes_symptom,Redness
Eczema,causes_symptom,Itching
Eczema,causes_symptom,Dry_Skin
Eczema,causes_symptom,Rash
Eczema,causes_symptom,Skin_Inflammation
Acne,causes_symptom,Pimples
Acne,causes_symptom,Blackheads
Acne,causes_symptom,Skin_Inflammation
Urticaria,causes_symptom,Hives
Urticaria,causes_symptom,Itching
Urticaria,causes_symptom,Swelling
Rosacea,causes_symptom,Facial_Redness
Rosacea,causes_symptom,Pimples
Rosacea,causes_symptom,Visible_Blood_Vessels
Scabies,causes_symptom,Severe_Itching
Scabies,causes_symptom,Rash
Tinea,causes_symptom,Ring_Shaped_Rash
Tinea,causes_symptom,Itching
Tinea,causes_symptom,Scaling
Cellulitis,causes_symptom,Skin_Redness
Cellulitis,causes_symptom,Swelling
Cellulitis,causes_symptom,Warmth
