# ============================================================
# INSTANCE 2 — Maladies Chroniques, Cardiovasculaires & Métaboliques
# 500 triplets | Format: head,relation,tail
# ============================================================

# --- Maladies Cardiovasculaires & Symptômes ---
Hypertension,causes_symptom,High_Blood_Pressure
Hypertension,causes_symptom,Headache
Hypertension,causes_symptom,Dizziness
Hypertension,causes_symptom,Blurred_Vision
Hypertension,causes_symptom,Chest_Pain
Hypertension,causes_symptom,Shortness_of_Breath
Hypertension,causes_symptom,Nosebleed
Hypertension,causes_symptom,Fatigue
Heart_Failure,causes_symptom,Shortness_of_Breath
Heart_Failure,causes_symptom,Fatigue
Heart_Failure,causes_symptom,Edema
Heart_Failure,causes_symptom,Rapid_Heart_Rate
Heart_Failure,causes_symptom,Cough
Heart_Failure,causes_symptom,Chest_Pain
Heart_Failure,causes_symptom,Dizziness
Coronary_Artery_Disease,causes_symptom,Chest_Pain
Coronary_Artery_Disease,causes_symptom,Shortness_of_Breath
Coronary_Artery_Disease,causes_symptom,Heart_Palpitations
Coronary_Artery_Disease,causes_symptom,Fatigue
Myocardial_Infarction,causes_symptom,Severe_Chest_Pain
Myocardial_Infarction,causes_symptom,Left_Arm_Pain
Myocardial_Infarction,causes_symptom,Shortness_of_Breath
Myocardial_Infarction,causes_symptom,Sweating
Myocardial_Infarction,causes_symptom,Nausea
Myocardial_Infarction,causes_symptom,Jaw_Pain
Atrial_Fibrillation,causes_symptom,Irregular_Heartbeat
Atrial_Fibrillation,causes_symptom,Heart_Palpitations
Atrial_Fibrillation,causes_symptom,Shortness_of_Breath
Atrial_Fibrillation,causes_symptom,Fatigue
Atrial_Fibrillation,causes_symptom,Dizziness
Stroke,causes_symptom,Sudden_Weakness
Stroke,causes_symptom,Speech_Difficulty
Stroke,causes_symptom,Facial_Drooping
Stroke,causes_symptom,Severe_Headache
Stroke,causes_symptom,Vision_Loss
Stroke,causes_symptom,Confusion
Peripheral_Artery_Disease,causes_symptom,Leg_Pain
Peripheral_Artery_Disease,causes_symptom,Leg_Cramps
Peripheral_Artery_Disease,causes_symptom,Numbness_in_Legs
