question_id,head,relation
Q0001,Chronic_Kidney_Disease,monitored_by
Q0002,Peripheral_Artery_Disease,affects_organ
Q0003,Apixaban,interacts_with
Q0004,Atorvastatin,interacts_with
Q0005,Clopidogrel,interacts_with
Q0006,Digoxin,interacts_with
Q0007,Rivaroxaban,interacts_with
Q0008,Simvastatin,interacts_with
Q0009,Allopurinol,contraindicated_with
Q0010,Colchicine,contraindicated_with
Q0011,Pioglitazone,contraindicated_with
Q0012,Atenolol,contraindicated_with
Q0013,Canagliflozin,contraindicated_with
Q0014,Digoxin,contraindicated_with
Q0015,Furosemide,contraindicated_with
Q0016,Heparin,contraindicated_with
Q0017,Sitagliptin,contraindicated_with
Q0018,Verapamil,contraindicated_with
Q0019,Metabolic_Syndrome,diagnosed_by
Q0020,Pulmonary_Embolism,diagnosed_by
Q0021,Nitroglycerin,treats
Q0022,Allopurinol,treats
Q0023,Aspirin,treats
Q0024,Candesartan,treats
Q0025,Carvedilol,treats
Q0026,Colchicine,treats
Q0027,Diltiazem,treats
Q0028,Enalapril,treats
Q0029,Hydrochlorothiazide,treats
Q0030,Insulin,treats
Q0031,Liraglutide,treats
Q0032,Losartan,treats
Q0033,Pioglitazone,treats
Q0034,Ramipril,treats
Q0035,Rosuvastatin,treats
Q0036,Ticagrelor,treats
Q0037,Tirzepatide,treats
Q0038,Torsemide,treats
Q0039,Valsartan,treats
Q0040,Apixaban,treats
Q0041,Atenolol,treats
Q0042,Atorvastatin,treats
Q0043,Canagliflozin,treats
Q0044,Clopidogrel,treats
Q0045,Digoxin,treats
Q0046,Furosemide,treats
Q0047,Heparin,treats
Q0048,Rivaroxaban,treats
Q0049,Simvastatin,treats
Q0050,Sitagliptin,treats
Q0051,Verapamil,treats
Q0052,Hyperkalemia,causes_symptom
Q0053,Aspirin,is_a
Q0054,Candesartan,is_a
Q0055,Carvedilol,is_a
Q0056,Diltiazem,is_a
Q0057,Enalapril,is_a
Q0058,Hydrochlorothiazide,is_a
Q0059,Hypoglycemia,is_a
Q0060,Insulin,is_a
Q0061,Liraglutide,is_a
Q0062,Losartan,is_a
Q0063,Ramipril,is_a
Q0064,Rosuvastatin,is_a
Q0065,Ticagrelor,is_a
Q0066,Tirzepatide,is_a
Q0067,Torsemide,is_a
Q0068,Valsartan,is_a
Q0069,Apixaban,is_a
Q0070,Atenolol,is_a
Q0071,Atorvastatin,is_a
Q0072,Canagliflozin,is_a
Q0073,Clopidogrel,is_a
Q0074,Furosemide,is_a
Q0075,Heparin,is_a
Q0076,Metabolic_Syndrome,is_a
Q0077,Peripheral_Artery_Disease,is_a
Q0078,Pulmonary_Embolism,is_a
Q0079,Rivaroxaban,is_a
Q0080,Simvastatin,is_a
Q0081,Sitagliptin,is_a
Q0082,Verapamil,is_a
Q0083,Heart_Failure,monitored_by
Q0084,Warfarin,monitored_by
Q0085,Atrial_Fibrillation,monitored_by
Q0086,Hyperthyroidism,monitored_by
Q0087,Dyslipidemia,monitored_by
Q0088,Hypothyroidism,monitored_by
Q0089,Diabetes_Type_2,monitored_by
Q0090,Gout,monitored_by
Q0091,Hypertension,monitored_by
Q0092,Diabetes_Type_1,affects_population
Q0093,Coronary_Artery_Disease,affects_organ
Q0094,Heart_Failure,affects_organ
Q0095,Hyperthyroidism,affects_organ
Q0096,Myocardial_Infarction,affects_organ
Q0097,Myocardial_Infarction,affects_population
Q0098,Dyslipidemia,affects_organ
Q0099,Stroke,affects_organ
Q0100,Stroke,affects_population
Q0101,Hypothyroidism,affects_organ
Q0102,Hypothyroidism,affects_population
Q0103,Diabetes_Type_2,affects_organ
Q0104,Diabetes_Type_2,affects_population
Q0105,Gout,affects_organ
Q0106,Gout,affects_population
Q0107,Amlodipine,interacts_with
Q0108,Lisinopril,interacts_with
