question_id,head,relation,valid_tails,num_valid_tails,difficulty,kept_train_tails
Q0001,Allopurinol,interacts_with,Azathioprine,1,easy,
Q0002,Ciprofloxacin,interacts_with,Antacids,1,easy,
Q0003,Imatinib,interacts_with,Warfarin,1,easy,
Q0004,Nitrofurantoin,interacts_with,Antacids,1,easy,
Q0005,Pembrolizumab,interacts_with,Corticosteroids,1,easy,
Q0006,Osteoarthritis,prevented_by,Weight_Management,1,easy,
Q0007,Family_History,risk_factor_for,Colorectal_Cancer,1,easy,Breast_Cancer
Q0008,Smoking,risk_factor_for,Lung_Cancer,1,easy,Bladder_Cancer
Q0009,Aspirin,contraindicated_with,Children,1,easy,
Q0010,Colchicine,contraindicated_with,Kidney_Failure,1,easy,
Q0011,Isotretinoin,contraindicated_with,Pregnancy,1,easy,
Q0012,Adalimumab,contraindicated_with,Active_Tuberculosis,1,easy,
Q0013,Allopurinol,contraindicated_with,Azathioprine,1,easy,
Q0014,Ciprofloxacin,contraindicated_with,Tendon_Problems,1,easy,
Q0015,Cyclophosphamide,contraindicated_with,Pregnancy,1,easy,Active_Infection
Q0016,Doxorubicin,contraindicated_with,Heart_Disease,1,easy,
Q0017,Etanercept,contraindicated_with,Active_Infection,1,easy,
Q0018,Nitrofurantoin,contraindicated_with,Kidney_Failure,1,easy,
Q0019,Terbinafine,contraindicated_with,Liver_Disease,1,easy,
Q0020,Otitis_Media,diagnosed_by,Otoscopy,1,easy,
Q0021,Cefalexin,treats,Otitis_Media,1,easy,Cellulitis
Q0022,Ibuprofen,treats,Osteoarthritis,1,easy,Fever
Q0023,Secukinumab,treats,Psoriasis,1,easy,Ankylosing_Spondylitis
Q0024,Abatacept,treats,Rheumatoid_Arthritis,1,easy,
Q0025,Alpha_Blocker,treats,Benign_Prostatic_Hyperplasia,1,easy,
Q0026,Bevacizumab,treats,Lung_Cancer,1,easy,Colorectal_Cancer
Q0027,Capecitabine,treats,Colorectal_Cancer,1,easy,
Q0028,Carboplatin,treats,Ovarian_Cancer,1,easy,Lung_Cancer
Q0029,Cetuximab,treats,Colorectal_Cancer,1,easy,
Q0030,Cisplatin,treats,Bladder_Cancer,1,easy,
Q0031,Clotrimazole,treats,Tinea,1,easy,
Q0032,Colchicine,treats,Gout,1,easy,
Q0033,Docetaxel,treats,Prostate_Cancer,1,easy,
Q0034,Enzalutamide,treats,Prostate_Cancer,1,easy,
Q0035,Erlotinib,treats,Lung_Cancer,1,easy,
Q0036,Fluorouracil,treats,Stomach_Cancer,1,easy,Colorectal_Cancer
Q0037,Gemcitabine,treats,Pancreatic_Cancer,1,easy,Bladder_Cancer
Q0038,Infliximab,treats,Rheumatoid_Arthritis,1,easy,
Q0039,Isotretinoin,treats,Acne,1,easy,
Q0040,Leflunomide,treats,Rheumatoid_Arthritis,1,easy,
Q0041,Letrozole,treats,Breast_Cancer,1,easy,
Q0042,Nivolumab,treats,Melanoma,1,easy,
Q0043,Oxaliplatin,treats,Colorectal_Cancer,1,easy,
Q0044,Paclitaxel,treats,Lung_Cancer,1,easy,Breast_Cancer
Q0045,Sorafenib,treats,Liver_Cancer,1,easy,Kidney_Cancer
Q0046,Sulfasalazine,treats,Rheumatoid_Arthritis,1,easy,Ankylosing_Spondylitis
Q0047,Tamsulosin,treats,Benign_Prostatic_Hyperplasia,1,easy,
Q0048,Tocilizumab,treats,Rheumatoid_Arthritis,1,easy,
Q0049,Trastuzumab,treats,Breast_Cancer,1,easy,
Q0050,Vemurafenib,treats,Melanoma,1,easy,
Q0051,Allopurinol,treats,Gout,1,easy,
Q0052,Ciprofloxacin,treats,Urinary_Tract_Infection,1,easy,
Q0053,Etanercept,treats,Rheumatoid_Arthritis,1,easy,
Q0054,Imatinib,treats,Leukemia,1,easy,Gastrointestinal_Stromal_Tumor
Q0055,Nitrofurantoin,treats,Urinary_Tract_Infection,1,easy,
Q0056,Pembrolizumab,treats,Melanoma,1,easy,Lung_Cancer
Q0057,Terbinafine,treats,Tinea,1,easy,
Q0058,Abatacept,is_a,Biologic,1,easy,
Q0059,Acne,is_a,Dermatological_Condition,1,easy,
Q0060,Alpha_Blocker,is_a,Medicament,1,easy,
Q0061,Bevacizumab,is_a,Biologic,1,easy,
Q0062,Bladder_Cancer,is_a,Urological_Disorder,1,easy,Cancer
Q0063,Capecitabine,is_a,Chemotherapy,1,easy,
Q0064,Carboplatin,is_a,Chemotherapy,1,easy,
Q0065,Cellulitis,is_a,Dermatological_Condition,1,easy,
Q0066,Cetuximab,is_a,Targeted_Therapy,1,easy,
Q0067,Cisplatin,is_a,Chemotherapy,1,easy,
Q0068,Clotrimazole,is_a,Antifungal,1,easy,
Q0069,Croup,is_a,Pediatric_Condition,1,easy,
Q0070,Docetaxel,is_a,Chemotherapy,1,easy,
Q0071,Enzalutamide,is_a,Targeted_Therapy,1,easy,
Q0072,Erlotinib,is_a,Targeted_Therapy,1,easy,
Q0073,Fluorouracil,is_a,Chemotherapy,1,easy,
Q0074,Gemcitabine,is_a,Chemotherapy,1,easy,
Q0075,Hand_Foot_Mouth_Disease,is_a,Pediatric_Condition,1,easy,
Q0076,Infliximab,is_a,Biologic,1,easy,
Q0077,Kawasaki_Disease,is_a,Pediatric_Condition,1,easy,
Q0078,Kidney_Failure,is_a,Urological_Disorder,1,easy,
Q0079,Leflunomide,is_a,DMARD,1,easy,
Q0080,Letrozole,is_a,Hormone_Therapy,1,easy,
Q0081,Liver_Cancer,is_a,Cancer,1,easy,
Q0082,Nivolumab,is_a,Biologic,1,easy,
Q0083,Oxaliplatin,is_a,Chemotherapy,1,easy,
Q0084,Paclitaxel,is_a,Chemotherapy,1,easy,
Q0085,Pancreatic_Cancer,is_a,Cancer,1,easy,
Q0086,Psoriatic_Arthritis,is_a,Autoimmune_Disease,1,easy,
Q0087,RSV,is_a,Pediatric_Condition,1,easy,
Q0088,Rosacea,is_a,Dermatological_Condition,1,easy,
Q0089,Scabies,is_a,Dermatological_Condition,1,easy,
Q0090,Sjogren_Syndrome,is_a,Autoimmune_Disease,1,easy,
Q0091,Sorafenib,is_a,Targeted_Therapy,1,easy,
Q0092,Stomach_Cancer,is_a,Cancer,1,easy,
Q0093,Sulfasalazine,is_a,DMARD,1,easy,
Q0094,Tamsulosin,is_a,Alpha_Blocker,1,easy,
Q0095,Tinea,is_a,Dermatological_Condition,1,easy,
Q0096,Tocilizumab,is_a,Biologic,1,easy,
Q0097,Trastuzumab,is_a,Biologic,1,easy,
Q0098,Urticaria,is_a,Dermatological_Condition,1,easy,
Q0099,Vasculitis,is_a,Autoimmune_Disease,1,easy,
Q0100,Vemurafenib,is_a,Targeted_Therapy,1,easy,
Q0101,Whooping_Cough,is_a,Pediatric_Condition,1,easy,
Q0102,Adalimumab,is_a,Biologic,1,easy,
Q0103,Cyclophosphamide,is_a,Chemotherapy,1,easy,
Q0104,Doxorubicin,is_a,Chemotherapy,1,easy,
Q0105,Etanercept,is_a,Biologic,1,easy,
Q0106,Imatinib,is_a,Targeted_Therapy,1,easy,
Q0107,Osteoarthritis,is_a,Musculoskeletal_Disorder,1,easy,
